Participant,Age,TrialN,StimID,StimType,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,CompAcc,Condition,RestrictorType,RestrictorPosition,MENRestr,MAXRestr,MENRestrType,MAXRestrType,Context,ContextRT,LOOK_SEEM,CompRT,has_comp
39,25,10,74,fill,342.5,334.1,296.59999999999997,331.7,365,I tasted,the most unique,beer,"in Melbourne,",so it was a lovely time.,0,FILL,FILL,FILL,in Melbourne,in Australia,country,city,"I've just returned from a great holiday in Australia. I was really shocked. Apparently,",1747.5,NA,NA,NQ
39,25,11,48,exp,328.79999999999995,284.4,295.59999999999997,463.3,380.09999999999997,Every,castle,in Istanbul,"seemed well-maintained,",so I had some deciding to do.,0,INT-MEN,MEN,INT,in Istanbul,in the vlog,city,vlog,I was watching a vlog for inspiration for well-maintained castles to try out in Istanbul and other cities.,4663.2,seemed,NA,NQ
39,25,12,80,fill,460.6,514.4,429.59999999999997,445.40000000000003,381.90000000000003,I got to enjoy,the tastiest,curry,"in Bogotá,",so I really enjoyed it.,0,FILL,FILL,FILL,in Bogotá,in Colombia,country,city,"I've just returned from a short vacation in Colombia. I was really shocked. According to my friends,",2619.2000000000003,NA,NA,NQ
39,25,13,16,exp,396.6,529.5,344.8,385.40000000000003,612.6,Every,gallery,in Venice,"seemed high-end,",so I had some deciding to do.,1,INT-MEN,MEN,INT,in Venice,in the brochure,city,brochure,I was flicking through a holiday brochure to find high-end galleries to visit in Venice and other cities.,2280.8,seemed,1297.9,1
39,25,14,25,exp,437,463.3,311.59999999999997,327.79999999999995,334,Every,river,looked soothing,"in the blog,",so I didn't know what to do.,0,EXT-MAX,MAX,EXT,in Norway,in the blog,country,blog,I was reading a blog to get some ideas for soothing rivers to explore in Norway and other countries.,3518.1,looked,NA,NQ
39,25,15,31,exp,400.5,329.29999999999995,402.5,333.4,601.1999999999999,Every,bridge,in the brochure,"looked amazing,",so I booked straightaway.,0,INT-MAX,MAX,INT,in Argentina,in the brochure,country,brochure,I was flicking through a holiday brochure to find amazing bridges to visit in Argentina and other countries.,3725.9,looked,NA,NQ
39,25,16,1,exp,554.3000000000001,346.5,363.3,311.90000000000003,635.5,Every,beach,looked beautiful,"in the brochure,",so I booked straightaway.,1,EXT-MAX,MAX,EXT,in Spain,in the brochure,country,brochure,I was flicking through a holiday brochure to find beautiful beaches to visit in Spain and other countries.,3512.4,looked,1905.2,1
39,25,17,19,exp,367.70000000000005,279.9,252.9,295.3,398.3,Every,hike,on the app,"looked scenic,",so I knew just where to go.,0,INT-MAX,MAX,INT,in China,on the app,country,app,I was on a travel app researching scenic hikes to enjoy in China and other countries.,4043.5,looked,NA,NQ
39,25,18,117,fill,333.1,470.1,311.90000000000003,316.3,495.8,I went to a gig by,the most famous,band,"in Ireland,",so I made some nice memories.,0,FILL,FILL,FILL,in Ireland,in Galway,city,country,"I got home yesterday from a week-long trip in Galway. You won't believe it! Allegedly,",2033.3999999999999,NA,NA,NQ
39,25,19,118,fill,262.5,229.6,279.1,294.8,310.59999999999997,I walked along,the straightest,canal path,"in Wales,",so I really enjoyed it.,0,FILL,FILL,FILL,in Wales,in Bangor,city,country,"I'm just back from a lovely two-week stay in Bangor. I'm really pleased! Apparently,",2360.2,NA,NA,NQ
39,25,20,91,fill,297.9,290,251,335.8,362.09999999999997,I got to try,the most delicious,spaghetti,"in the US,",so I made some nice memories.,1,FILL,FILL,FILL,in the US,in Chicago,city,country,"I'm just back from a well-earned break in Chicago. I'm really pleased! According to locals,",1663.6,NA,2874.8,1
39,25,21,36,exp,331.7,263.40000000000003,295.20000000000005,267.40000000000003,267.29999999999995,Every,place,in Los Angeles,"seemed awesome,",so I booked straightaway.,0,INT-MEN,MEN,INT,in Los Angeles,in the brochure,city,brochure,I was flicking through a holiday brochure to find awesome places to visit in Los Angeles and other cities.,2693.9,seemed,NA,NQ
39,25,22,34,exp,335.6,261.79999999999995,266.6,314.90000000000003,357.59999999999997,Every,excursion,seemed unique,"in Bucharest,",so I booked straightaway.,0,EXT-MEN,MEN,EXT,in Bucharest,on the app,city,app,I was on a travel app researching unique excursions to enjoy in Bucharest and other cities.,2641.2,seemed,NA,NQ
39,25,23,110,fill,332.1,250.8,281.7,211.60000000000002,443.6,I got to see,the most romantic,sunsets,"in Colombia,",so it was a lovely time.,1,FILL,FILL,FILL,in Colombia,in Cartagena,city,country,"I've just returned from a short vacation in Cartagena. I was really shocked. Apparently,",2310.2999999999997,NA,1335.1,1
39,25,24,22,exp,294.4,278.8,213.9,280.4,315,Every,cottage,seemed charming,"in Durham,",so I knew just where to go.,1,EXT-MEN,MEN,EXT,in Durham,on the website,city,website,I was on a website trying to find charming cottages to stay at in Durham and other cities.,2514.4,seemed,1189.5,1
39,25,25,76,fill,280.4,181.7,418.6,267.1,365.5,I visited,the smallest,coffee shop,"in São Paulo,",so I really enjoyed it.,1,FILL,FILL,FILL,in São Paulo,in Brazil,country,city,"I'm just back from a well-earned break in Brazil. I'm really pleased! According to my friends,",1531.5,NA,1370,1
39,25,26,6,exp,331,378.5,228.7,162.8,295.8,Every,monument,seemed interesting,"in Edinburgh,",so I booked straightaway.,1,EXT-MEN,MEN,EXT,in Edinburgh,in the brochure,city,brochure,I was flicking through a holiday brochure to find interesting monuments to visit in Edinburgh and other cities.,2059.4,seemed,2204.7,1
39,25,27,5,exp,333.4,317.40000000000003,253.4,298.5,341.6,Every,market,looked exciting,"in the blog,",so I booked straightaway.,0,EXT-MAX,MAX,EXT,in Scotland,in the blog,country,blog,I was reading a blog to get some ideas for exciting markets to explore in Scotland and other countries.,1612.2,looked,NA,NQ
39,25,28,67,fill,399.9,317.40000000000003,412.4,581.3000000000001,338.7,I saw,the best views,views,"in Vienna,",so I really enjoyed it.,1,FILL,FILL,FILL,in Vienna,in Austria,country,city,"I'm just back from a week-long trip in Austria. I'm really pleased! According to locals,",1826.2,NA,1120.2,1
39,25,29,90,fill,335.7,280.9,279.8,228.2,484.09999999999997,I ate,the nicest,cheese,"in Johannesburgh,",so it was a lovely time.,0,FILL,FILL,FILL,in Johannesburgh,in South Africa,country,city,"I got home yesterday from a short vacation in South Africa. You won't believe it! Apparently,",1785.8,NA,NA,NQ
39,25,30,100,fill,295.5,246.79999999999998,251.2,313,333.2,I arrived during,the best,time for skiing,"in Finland,",so I'm glad I went.,0,FILL,FILL,FILL,in Finland,in Lapland,city,country,"I'm just back from a short vacation in Lapland. I'm really pleased! According to my friends,",1744.6,NA,NA,NQ
