Participant,Age,AgeOfMachine,TrialN,StimID,StimType,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,Browser,CompAcc,RestrictorType,MENRestr,MAXRestr,MENRestrType,MAXRestrType,Context,ContextRT,SubNP,RestrPP,LOOK_SEEM,CompRT,has_comp
12,30,NA,88,62,fill,444.90000000000003,386.90000000000003,362,410.5,497.5,I experienced,the hottest,day on record,"in Bordeaux,",so it was a lovely time.,Chrome,1,FILL,in Bordeaux,in France,country,city,"I've just returned from a week-long trip in France. I was really shocked. Apparently,",1356.4,the hottest,NA,NA,748.9,1
12,30,NA,89,59,exp,309.8,328.5,290.2,286.2,634.8000000000001,Every,trek,in Indonesia,"looked challenging,",so I didn't know what to do.,Chrome,1,MEN,in Indonesia,on the app,country,app,I was on a travel app researching challenging treks to enjoy in Indonesia and other countries.,2565.5,trek,in Indonesia,looked,1358.4,1
12,30,NA,90,57,exp,328.6,297,284.3,NA,295.8,Every,farm,"looked eco-friendly,",NA,so I didn't know what to do.,Chrome,1,NIL,in Greece,on the website,country,website,I was on a website trying to find eco-friendly farms to stay at in Greece and other countries.,2581.7000000000003,farm,NIL,looked,843.1999999999999,1
12,30,NA,91,56,exp,352.5,251,271.5,314.5,516.9,Every,statue,in New York,"seemed famous,",so I didn't know what to do.,Chrome,1,MEN,in New York,in the brochure,city,brochure,I was flicking through a holiday brochure to find famous statues to visit in New York and other cities.,3361.5,statue,in New York,seemed,1680,1
12,30,NA,92,29,exp,366.59999999999997,304.3,321.90000000000003,349.6,453.40000000000003,Every,shop,in Hungary,"looked trendy,",so I didn't know what to do.,Chrome,1,MEN,in Hungary,on the app,country,app,I was on a travel app researching trendy shops to enjoy in Hungary and other countries.,2891.4,shop,in Hungary,looked,952.6,1
12,30,NA,93,111,fill,451.5,384.2,384.29999999999995,414,515.1,I got to experience,the most vibrant,nightlife,"in Thailand,",so I made some nice memories.,Chrome,1,FILL,in Thailand,in Phuket,city,country,"I got home yesterday from a well-earned break in Phuket. You won't believe it! According to locals,",2594.2,the most vibrant,NA,NA,902.6999999999999,1
12,30,NA,94,39,exp,309.59999999999997,281.1,268.5,NA,392.40000000000003,Every,lake,"looked pristine,",NA,so there was plenty of choice.,Chrome,1,NIL,in Australia,on the app,country,app,I was on a travel app researching pristine lakes to enjoy in Australia and other countries.,3648.1,lake,NIL,looked,744.9,1
12,30,NA,95,66,fill,363.4,347.9,453.1,393.5,472.8,I got to see,the greenest,park,"in Brussels,",so I made some nice memories.,Chrome,1,FILL,in Brussels,in Belgium,country,city,"I got home yesterday from a well-earned break in Belgium. You won't believe it! Apparently,",1704.6,the greenest,NA,NA,812.2,1
12,30,NA,96,13,exp,317.8,246.29999999999998,331.1,367.70000000000005,485.09999999999997,Every,campsite,in the vlog,"looked picturesque,",so I had some deciding to do.,Chrome,1,MAX,in Germany,in the vlog,country,vlog,I was watching a vlog for inspiration for picturesque campsites to try out in Germany and other countries.,2763.9,campsite,in the vlog,looked,872.9,1
12,30,NA,97,23,exp,285.3,281.8,254,386.6,554.1,Every,cruise,in Finland,"looked idyllic,",so I knew just where to go.,Chrome,1,MEN,in Finland,in the vlog,country,vlog,I was watching a vlog for inspiration for idyllic cruises to try out in Finland and other countries.,2134.6,cruise,in Finland,looked,905.6999999999999,1
12,30,NA,98,61,fill,426.5,424.3,350.9,424.5,429,I climbed,the tallest,building,"in New York,",so I'm glad I went.,Chrome,1,FILL,in New York,in the US,country,city,"I'm just back from a well-earned break in the US. I'm really pleased! Allegedly,",1628.7,the tallest,NA,NA,619.7,1
12,30,NA,99,83,fill,439.8,341.3,368.20000000000005,373.59999999999997,541.6999999999999,I rode,the biggest,rollercoaster,"in Malaga,",so I really enjoyed it.,Chrome,1,FILL,in Malaga,in Spain,country,city,"I've just returned from a lovely two-week stay in Spain. I was really shocked. According to locals,",1792.6,the biggest,NA,NA,1336.4,1
12,30,NA,100,108,fill,392.90000000000003,496.2,411.7,426,471.5,I ordered,the most alcoholic,cocktail,"in Switzerland,",so I really enjoyed it.,Chrome,1,FILL,in Switzerland,in Zürich,city,country,"I got home yesterday from a lovely two-week stay in Zürich. You won't believe it! According to my friends,",1178,the most alcoholic,NA,NA,852.6,1
12,30,NA,101,52,exp,325.6,263.2,235.5,226.5,431.90000000000003,Every,lodge,on the website,"seemed inexpensive,",so I knew just where to go.,Chrome,1,MAX,in Bangkok,on the website,city,website,I was on a website trying to find inexpensive lodges to stay at in Bangkok and other cities.,3434.1,lodge,on the website,seemed,1318,1
12,30,NA,102,33,exp,286.2,282.1,285.4,NA,328.90000000000003,Every,zoo,"looked responsible,",NA,so I booked straightaway.,Chrome,1,NIL,in Thailand,in the vlog,country,vlog,I was watching a vlog for inspiration for responsible zoos to try out in Thailand and other countries.,2398.7,zoo,NIL,looked,1162.7,1
12,30,NA,103,84,fill,357,301.9,296.59999999999997,379.8,436.8,I stayed at,the cleanest,hostel,"in Marrakesh,",so I'm glad I went.,Chrome,1,FILL,in Marrakesh,in Morrocco,country,city,"I got home yesterday from a great holiday in Morrocco. You won't believe it! According to my friends,",1540.6,the cleanest,NA,NA,593.0999999999999,1
12,30,NA,104,107,fill,328.2,345.6,314.2,293.5,480.6,I enjoyed,the cheapest,vegan food,"in India,",so I made some nice memories.,Chrome,1,FILL,in India,in Delhi,city,country,"I've just returned from a week-long trip in Delhi. I was really shocked. According to locals,",1368.4,the cheapest,NA,NA,741.1999999999999,1
12,30,NA,105,20,exp,283.4,237.1,259.29999999999995,264.1,403.9,Every,church,in Belfast,"seemed ornate,",so I knew just where to go.,Chrome,1,MEN,in Belfast,in the blog,city,blog,I was reading a blog to get some ideas for ornate churches to explore in Belfast and other cities.,2094.3999999999996,church,in Belfast,seemed,523.5999999999999,1
12,30,NA,106,9,exp,277,241.60000000000002,286.4,NA,284.1,Every,view,"looked breathtaking,",NA,so there was plenty of choice.,Chrome,1,NIL,in Japan,on the app,country,app,I was on a travel app researching breathtaking views to enjoy in Japan and other countries.,2971.4,view,NIL,looked,956.4,1
12,30,NA,107,37,exp,325.1,310.2,264.6,285.3,424.9,Every,villa,on the website,"looked stunning,",so there was plenty of choice.,Chrome,1,MAX,in Egypt,on the website,country,website,I was on a website trying to find stunning villas to stay at in Egypt and other countries.,2030.6000000000001,villa,on the website,looked,1679.5,1
12,30,NA,108,71,fill,354.7,284.2,374.8,527.3,536.3,I was staying in,the most modern,appartment block,"in Shanghai,",so it was a lovely time.,Chrome,1,FILL,in Shanghai,in China,country,city,"I've just returned from a well-earned break in China. I was really shocked. According to locals,",1811.1,the most modern,NA,NA,737.6,1
12,30,NA,109,43,exp,262.29999999999995,234.7,224,214,452.79999999999995,Every,delicacy,in the vlog,"looked tasty,",so I had some deciding to do.,Chrome,1,MAX,in Venezuela,in the vlog,country,vlog,I was watching a vlog for inspiration for tasty delicacies to try out in Venezuela and other countries.,2090.6,delicacy,in the vlog,looked,826.5,1
12,30,NA,110,87,fill,415.1,429.4,346.8,381.90000000000003,501.29999999999995,I sailed down,the widest,river,"in Dublin,",so it was a lovely time.,Chrome,1,FILL,in Dublin,in Ireland,country,city,"I got home yesterday from a week-long trip in Ireland. You won't believe it! According to locals,",984.1999999999999,the widest,NA,NA,991.9,1
