Participant,Age,TrialN,StimID,StimType,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,CompAcc,Condition,RestrictorType,RestrictorPosition,Context,ContextRT,LOOK_SEEM,Adj,CompRT,has_comp
34,27,88,35,exp,242.5,204.8,196.20000000000002,178.7,589.7,Every,palace,in Sweden,"looked opulent,",so I knew just where to go.,0,INT-EM,EM,INT,I was reading a blog to get some ideas for opulent palaces to explore in Sweden and other countries.,987.3,looked,opulent,NA,NQ
34,27,89,49,exp,218.4,186.4,201.4,202.2,397.3,Every,fountain,looked impressive,"in Turkey,",so I had some deciding to do.,1,EXT-EM,EM,EXT,I was flicking through a holiday brochure to find impressive fountains to enjoy in Turkey and other countries.,921.6,looked,impressive,1809.9,1
34,27,90,94,fill,202.1,178.9,196.9,187.29999999999998,240.2,I paraglided over,the most beautiful,spot,"in Germany,",so it was a lovely time.,1,FILL,FILL,FILL,"I'm just back from a great holiday in Frankfurt. I'm really pleased! Apparently,",1011.1000000000001,NA,NA,1451.5,1
34,27,91,79,fill,178.9,186.5,196.8,196.1,535.9000000000001,I tried,the best,ice-cream,"in Athens,",so I made some nice memories.,1,FILL,FILL,FILL,"I'm just back from a great holiday in Greece. I'm really pleased! According to locals,",759.6,NA,NA,1676.6000000000001,1
34,27,92,66,fill,478.2,233.6,200.2,194.8,467.7,I got to see,the greenest,park,"in Brussels,",so I made some nice memories.,0,FILL,FILL,FILL,"I got home yesterday from a well-earned break in Belgium. You won't believe it! Apparently,",1700.2,NA,NA,NA,NQ
34,27,93,7,exp,422.70000000000005,194.89999999999998,213.4,212.9,430.59999999999997,Every,museum,in Portugal,"looked cool,",so I booked straightaway.,0,INT-EM,EM,INT,I was flicking through a holiday brochure to find cool museums to visit in Portugal and other countries.,641.9,looked,cool,NA,NQ
34,27,94,95,fill,198.1,189.20000000000002,183.79999999999998,202.3,212.2,I went to,the very first,pub,"in England,",so I made some nice memories.,0,FILL,FILL,FILL,"I've just returned from a short vacation in Lancaster. I was really shocked. According to locals,",564.6999999999999,NA,NA,NA,NQ
34,27,95,118,fill,226.5,172.5,183.60000000000002,196.5,362.4,I walked along,the straightest,canal path,"in Wales,",so I really enjoyed it.,0,FILL,FILL,FILL,"I'm just back from a lovely two-week stay in Bangor. I'm really pleased! Apparently,",532.9000000000001,NA,NA,NA,NQ
34,27,96,48,exp,400.1,200,184.5,211.79999999999998,446.5,Every,castle,in Sydney,"seemed well-maintained,",so there was plenty of choice.,0,INT-NEM,NEM,INT,I was checking out a guidebook to find suggestions for well-maintained castles to try out in Istanbul and other cities.,627.6,seemed,well-maintained,NA,NQ
34,27,97,2,exp,237.4,163.89999999999998,180,202.7,419,Every,hostel,seemed quirky,"in Newcastle,",so I booked straightaway.,1,EXT-NEM,NEM,EXT,I was on a website trying to find quirky hostels to stay at in London and other cities.,510.2,seemed,quirky,2270.5,1
34,27,98,101,fill,213.4,168.9,206.3,195.39999999999998,203.8,I took a boat trip on,the deepest,lake,"in China,",so I made some nice memories.,1,FILL,FILL,FILL,"I've just returned from a well-earned break in Beijing. I was really shocked. Allegedly,",993.1,NA,NA,1486.9,1
34,27,99,75,fill,182.79999999999998,179.9,182.4,180,434.3,I rented,the priciest,car available,"in Stockholm,",so I made some nice memories.,0,FILL,FILL,FILL,"I got home yesterday from a short vacation in Sweden. You won't believe it! According to locals,",1232.9,NA,NA,NA,NQ
34,27,100,113,fill,231.3,162.20000000000002,171,203.9,412.7,I got to explore,the most convoluted,caves,"in Spain,",so it was a lovely time.,0,FILL,FILL,FILL,"I've just returned from a lovely two-week stay in Tenerife. I was really shocked. Allegedly,",742.7,NA,NA,NA,NQ
34,27,101,52,exp,213.10000000000002,166.2,184.29999999999998,199.3,195.70000000000002,Every,lodge,in Barcelona,"seemed inexpensive,",so I booked straightaway.,0,INT-NEM,NEM,INT,I was on a travel app researching inexpensive lodges to stay at in Bangkok and other cities.,574.3000000000001,seemed,inexpensive,NA,NQ
34,27,102,59,exp,200.8,184.29999999999998,190.1,178.29999999999998,428.8,Every,trek,in Thailand,"looked challenging,",so I had some deciding to do.,1,INT-EM,EM,INT,I was reading a blog to get some ideas for challenging treks to enjoy in Thailand and other countries.,577.5,looked,challenging,1496.3,1
34,27,103,42,exp,190.6,193.89999999999998,179.5,179.4,228.6,Every,barge,seemed spacious,"in Cairo,",so I booked straightaway.,0,EXT-NEM,NEM,EXT,I was checking out a guidebook to find suggestions for spacious barges to stay at in Krakow and other cities.,1892.2,seemed,spacious,NA,NQ
