Participant,Age,TrialN,StimID,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,CompAcc,ExceptiveType,Context,ContextRT,LOOK_SEEM,Condition,ExceptivePosition,EXCEPTIVE,CompRT,has_comp,C1.LEN.PRED,C2.LEN.PRED,C3.LEN.PRED,C4.LEN.PRED,SPILL.LEN.PRED,C1.POS.PRED,C2.POS.PRED,C3.POS.PRED,C4.POS.PRED,SPILL.POS.PRED,C3.VP.PRED,C4.VP.PRED,InfoCount,C1.RT.LOG,C2.RT.LOG,C3.RT.LOG,C4.RT.LOG,SPILL.RT.LOG,EXC.RT,EXC.LOG,VP.RT,VP.LOG,EXC.LEN,EXC.POS,VP.PRED,VP.RESID
5,32,57,39,355,334,380,623,544,Every,lake,except those in Australia,"looked pristine,",so I didn't know what to do.,1,SUB,I was on a travel app researching pristine lakes to enjoy in Australia and other countries.,2861,looked,PRE-SUB,PRE,except those in Australia,1739,1,415.0654390633318,415.0654390633318,448.05170835550837,426.060862160724,481.03797764768495,473.43333333333345,367.2833333333334,428.23333333333335,449.36666666666673,462.3833333333334,457.90305111421077,448.61553457094834,5,5.872117789475416,5.811140992976701,5.940171252720432,6.434546518787453,6.298949246855942,380,5.940171252720432,623,6.434546518787453,448.05170835550837,428.23333333333335,448.61553457094834,174.38446542905166
5,32,61,54,416,255,184,223,381,Every,walk,seemed easy,"except those on the app,",37226,1,MAX,I was on a travel app researching easy walks to enjoy in Barcelona and other cities.,3216,seemed,PST-MAX,PST,except those on the app,1264,1,415.0654390633318,415.0654390633318,426.060862160724,459.04713145290054,415.0654390633318,473.43333333333345,367.2833333333334,428.23333333333335,449.36666666666673,462.3833333333334,435.3690882426584,482.4164788782769,6,6.030685260261263,5.541263545158426,5.214935757608986,5.407171771460119,5.942799375126701,223,5.407171771460119,184,5.214935757608986,459.04713145290054,449.36666666666673,435.3690882426584,-251.3690882426584
5,32,62,56,158,199,173,199,266,Every,statue,seemed famous,"except those in New York,",37226,1,SUB,I was flicking through a holiday brochure to find famous statues to visit in New York and other cities.,1960,seemed,PST-SUB,PST,except those in New York,1849,1,415.0654390633318,415.0654390633318,426.060862160724,459.04713145290054,415.0654390633318,473.43333333333345,367.2833333333334,428.23333333333335,449.36666666666673,462.3833333333334,435.3690882426584,482.4164788782769,5,5.062595033026967,5.293304824724492,5.153291594497779,5.293304824724492,5.583496308781699,199,5.293304824724492,173,5.153291594497779,459.04713145290054,449.36666666666673,435.3690882426584,-262.3690882426584
5,32,64,22,317,278,408,440,372,Every,cottage,seemed charming,"except those on the website,",so I needed to do more research.,1,MAX,I was on a website trying to find charming cottages to stay at in Durham and other cities.,2549,seemed,PST-MAX,PST,except those on the website,1791,1,415.0654390633318,415.0654390633318,426.060862160724,459.04713145290054,481.03797764768495,473.43333333333345,367.2833333333334,428.23333333333335,449.36666666666673,462.3833333333334,435.3690882426584,482.4164788782769,7,5.75890177387728,5.627621113690637,6.0112671744041615,6.0867747269123065,5.918893854273146,440,6.0867747269123065,408,6.0112671744041615,459.04713145290054,449.36666666666673,435.3690882426584,-27.369088242658393
5,32,65,21,493,381,534,464,490,Every,building,except those in the brochure,"looked unique,",so I didn't know what to do.,1,MAX,I was flicking through a holiday brochure to find unique buildings to visit in Switzerland and other countries.,2469,looked,PRE-MAX,PRE,except those in the brochure,1644,1,415.0654390633318,415.0654390633318,459.04713145290054,426.060862160724,481.03797764768495,473.43333333333345,367.2833333333334,428.23333333333335,449.36666666666673,462.3833333333334,469.17003254998696,448.61553457094834,6,6.20050917404269,5.942799375126701,6.280395838960195,6.139884552226255,6.194405391104672,534,6.280395838960195,464,6.139884552226255,459.04713145290054,428.23333333333335,448.61553457094834,15.384465429051659
5,32,66,35,404,255,669,387,456,Every,palace,except those in Sweden,"looked opulent,",so I needed to do more research.,1,SUB,I was reading a blog to get some ideas for opulent palaces to explore in Sweden and other countries.,8453,looked,PRE-SUB,PRE,except those in Sweden,1717,1,415.0654390633318,415.0654390633318,448.05170835550837,426.060862160724,481.03797764768495,473.43333333333345,367.2833333333334,428.23333333333335,449.36666666666673,462.3833333333334,457.90305111421077,448.61553457094834,5,6.0014148779611505,5.541263545158426,6.505784060128229,5.958424693029782,6.1224928095143865,669,6.505784060128229,387,5.958424693029782,448.05170835550837,428.23333333333335,448.61553457094834,-61.61553457094834
5,32,67,42,362,228,303,402,380,Every,barge,seemed spacious,"except those on the website,",so I didn't know what to do.,1,MAX,I was on a website trying to find spacious barges to stay at in Krakow and other cities.,3395,seemed,PST-MAX,PST,except those on the website,1528,1,415.0654390633318,415.0654390633318,426.060862160724,459.04713145290054,481.03797764768495,473.43333333333345,367.2833333333334,428.23333333333335,449.36666666666673,462.3833333333334,435.3690882426584,482.4164788782769,8,5.8916442118257715,5.429345628954441,5.713732805509369,5.996452088619021,5.940171252720432,402,5.996452088619021,303,5.713732805509369,459.04713145290054,449.36666666666673,435.3690882426584,-132.3690882426584
5,32,68,4,348,249,265,257,566,Every,park,seemed nice,"except those in Newcastle,",so I needed to do more research.,1,SUB,I was on a travel app researching nice parks to enjoy in Newcastle and other cities.,2778,seemed,PST-SUB,PST,except those in Newcastle,1665,1,415.0654390633318,415.0654390633318,426.060862160724,448.05170835550837,481.03797764768495,473.43333333333345,367.2833333333334,428.23333333333335,449.36666666666673,462.3833333333334,435.3690882426584,471.1494974425007,7,5.8522024797744745,5.517452896464707,5.579729825986222,5.54907608489522,6.338594078203183,257,5.54907608489522,265,5.579729825986222,448.05170835550837,449.36666666666673,435.3690882426584,-170.3690882426584
5,32,69,9,439,219,185,388,480,Every,view,except those on the app,"looked breathtaking,",so I needed to do more research.,1,MAX,I was on a travel app researching breathtaking views to enjoy in Japan and other countries.,1688,looked,PRE-MAX,PRE,except those on the app,1243,1,415.0654390633318,415.0654390633318,459.04713145290054,426.060862160724,481.03797764768495,473.43333333333345,367.2833333333334,428.23333333333335,449.36666666666673,462.3833333333334,469.17003254998696,448.61553457094834,8,6.0844994130751715,5.389071729816501,5.220355825078324,5.961005339623274,6.173786103901937,185,5.220355825078324,388,5.961005339623274,459.04713145290054,428.23333333333335,448.61553457094834,-60.61553457094834
5,32,72,1,541,199,158,179,435,Every,beach,except those in the brochure,"looked beautiful,",so I needed to do more research.,1,MAX,I was flicking through a holiday brochure to find beautiful beaches to visit in Spain and other countries.,5107,looked,PRE-MAX,PRE,except those in the brochure,1141,1,415.0654390633318,415.0654390633318,459.04713145290054,426.060862160724,481.03797764768495,473.43333333333345,367.2833333333334,428.23333333333335,449.36666666666673,462.3833333333334,469.17003254998696,448.61553457094834,7,6.293419278846481,5.293304824724492,5.062595033026967,5.187385805840755,6.075346031088684,158,5.062595033026967,179,5.187385805840755,459.04713145290054,428.23333333333335,448.61553457094834,-269.61553457094834
