Participant,Age,TrialN,StimID,StimType,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,CompAcc,ExceptiveType,MAXRestrType,MAXRestr,MENRestrType,MENRestr,Context,ContextRT,LOOK_SEEM,Condition,ExceptivePosition,EXCEPTIVE,CompRT,has_comp
52,21,68,59,exp,491.9,537.9000000000001,503.4,751.1999999999999,625.9,Every,trek,looked challenging,"except those in Indonesia,",so I had some deciding to do.,1,MEN,app,on the app,country,in Indonesia,I was on a travel app researching challenging treks to enjoy in Indonesia and other countries.,3232.1,looked,PST-MEN,PST,except those in Indonesia,1783.7,1
52,21,69,3,exp,360.20000000000005,267.40000000000003,247.29999999999998,290.3,649.5999999999999,Every,restaurant,looked fancy,"except those in Italy,",so I didn't know what to do.,1,MEN,vlog,in the vlog,country,in Italy,I was watching a vlog for inspiration for fancy restaurants to try out in Italy and other countries.,2753.2999999999997,looked,PST-MEN,PST,except those in Italy,1370,1
52,21,70,37,exp,320.29999999999995,268.5,302.70000000000005,484.9,434.3,Every,villa,looked stunning,"except those on the website,",so I needed to do more research.,1,MAX,website,on the website,country,in Egypt,I was on a website trying to find stunning villas to stay at in Egypt and other countries.,2173,looked,PST-MAX,PST,except those on the website,1701.7,1
52,21,71,68,fill,354.9,291.2,295.5,387.1,443.3,I rode,the fastest,train,"in Rotterdam,",so I'm glad I went.,1,FILL,city,in The Netherlands,country,in Rotterdam,"I've just returned from a lovely two-week stay in The Netherlands. I was really shocked. According to my friends,",2357.2999999999997,NA,FILL,FILL,FILL,1392.7,1
52,21,72,90,fill,333.8,277.3,358.5,568.6,467.4,I ate,the nicest,cheese,"in Johannesburgh,",so it was a lovely time.,1,FILL,city,in South Africa,country,in Johannesburgh,"I got home yesterday from a short vacation in South Africa. You won't believe it! Apparently,",2109.7999999999997,NA,FILL,FILL,FILL,2025.1999999999998,1
52,21,73,116,fill,382.90000000000003,417.9,350.2,328.7,416.3,I was lucky enough to try,the finest,wine,"in Portugal,",so I'm glad I went.,1,FILL,country,in Madeira,city,in Portugal,"I've just returned from a well-earned break in Madeira. I was really shocked. According to my friends,",1999.9,NA,FILL,FILL,FILL,1550.7,1
52,21,74,34,exp,322.40000000000003,327.79999999999995,616.3,529.4,656.9000000000001,Every,excursion,except those in Bucharest,"seemed action-packed,",so I didn't know what to do.,1,MEN,app,on the app,city,in Bucharest,I was on a travel app researching action-packed excursions to enjoy in Bucharest and other cities.,3766.4,seemed,PRE-MEN,PRE,except those in Bucharest,2582.9,1
52,21,75,53,exp,416.6,342.1,576,419.8,784,Every,rollercoaster,looked thrilling,"except those in the vlog,",so I needed to do more research.,1,MAX,vlog,in the vlog,country,in Belgium,I was watching a vlog for inspiration for thrilling rollercoasters to try out in Belgium and other countries.,2760.4,looked,PST-MAX,PST,except those in the vlog,1193.6,1
52,21,76,119,fill,378,350.3,428.5,428.3,525.8000000000001,I got to enjoy,the most remote,hot spring,"in Hungary,",so it was a lovely time.,1,FILL,country,in Debrecen,city,in Hungary,"I've just returned from a great holiday in Debrecen. I was really shocked. According to locals,",2489.6,NA,FILL,FILL,FILL,1695.5,1
52,21,77,21,exp,407.3,326.7,390.29999999999995,538.6999999999999,574,Every,building,looked unique,"except those in the brochure,",so I didn't know what to do.,1,MAX,brochure,in the brochure,country,in Switzerland,I was flicking through a holiday brochure to find unique buildings to visit in Switzerland and other countries.,2721.2999999999997,looked,PST-MAX,PST,except those in the brochure,1349.6,1
52,21,78,78,fill,410,500.09999999999997,610.4000000000001,1043.3,451,I drank from,the most well-known,fountain,"in Bern,",so it was a lovely time.,1,FILL,city,in Switzerland,country,in Bern,"I got home yesterday from a lovely two-week stay in Switzerland. You won't believe it! Apparently,",2533.5,NA,FILL,FILL,FILL,1817.3999999999999,1
52,21,79,84,fill,321.5,500.90000000000003,354.3,400.2,461.3,I stayed at,the cleanest,hostel,"in Marrakesh,",so I'm glad I went.,1,FILL,city,in Morrocco,country,in Marrakesh,"I got home yesterday from a great holiday in Morrocco. You won't believe it! According to my friends,",1958.9,NA,FILL,FILL,FILL,1224.3999999999999,1
52,21,80,102,fill,354,390.6,467.9,401.3,518.7,I got to taste,the most authentic,gelato,"in Canada,",so I really enjoyed it.,1,FILL,country,in Ottawa,city,in Canada,"I got home yesterday from a week-long trip in Ottawa. You won't believe it! Apparently,",1900.5,NA,FILL,FILL,FILL,1893.3999999999999,1
52,21,81,81,fill,580.6,284,550.4,404.4,512.5999999999999,I visited,the most ancient,temple,"in Bangkok,",so it was a lovely time.,1,FILL,city,in Thailand,country,in Bangkok,"I got home yesterday from a well-earned break in Thailand. You won't believe it! Allegedly,",9144,NA,FILL,FILL,FILL,1557.3,1
52,21,82,47,exp,541.4,378.8,416.1,594,1358.7,Every,chalet,looked pleasant,"except those in Denmark,",so I didn't know what to do.,1,MEN,website,on the website,country,in Denmark,I was on a website trying to find pleasant chalets to stay at in Denmark and other countries.,4534.0999999999995,looked,PST-MEN,PST,except those in Denmark,1239,1
52,21,83,57,exp,519.7,416.4,601,750.4,606.1,Every,farm,looked eco-friendly,"except those on the website,",so I didn't know what to do.,1,MAX,website,on the website,country,in Greece,I was on a website trying to find eco-friendly farms to stay at in Greece and other countries.,3250.7999999999997,looked,PST-MAX,PST,except those on the website,1518,1
52,21,84,105,fill,394.6,299.59999999999997,328.29999999999995,379.7,534.4,I went down,the fastest,waterslide,"in Sweden,",so I really enjoyed it.,1,FILL,country,in Gothenburg,city,in Sweden,"I got home yesterday from a short vacation in Gothenburg. You won't believe it! Allegedly,",2094.7,NA,FILL,FILL,FILL,1300.6,1
52,21,85,9,exp,323.7,318,309,360.3,783.9000000000001,Every,view,looked breathtaking,"except those on the app,",so I needed to do more research.,1,MAX,app,on the app,country,in Japan,I was on a travel app researching breathtaking views to enjoy in Japan and other countries.,2232.2999999999997,looked,PST-MAX,PST,except those on the app,1256.8999999999999,1
52,21,86,31,exp,378.09999999999997,367.3,384.7,683.9,584.5,Every,bridge,looked amazing,"except those in Argentina,",so I didn't know what to do.,1,MEN,brochure,in the brochure,country,in Argentina,I was flicking through a holiday brochure to find amazing bridges to visit in Argentina and other countries.,3017.3,looked,PST-MEN,PST,except those in Argentina,1416.6000000000001,1
52,21,87,35,exp,350.4,255.80000000000004,1174.1999999999998,496.09999999999997,632.6,Every,palace,looked opulent,"except those in Sweden,",so I needed to do more research.,1,MEN,blog,in the blog,country,in Sweden,I was reading a blog to get some ideas for opulent palaces to explore in Sweden and other countries.,4428.8,looked,PST-MEN,PST,except those in Sweden,1633.8,1
52,21,88,118,fill,394.9,324.40000000000003,322.90000000000003,418.8,434.09999999999997,I walked along,the straightest,canal path,"in Wales,",so I really enjoyed it.,1,FILL,country,in Bangor,city,in Wales,"I'm just back from a lovely two-week stay in Bangor. I'm really pleased! Apparently,",2944.3,NA,FILL,FILL,FILL,1217.2,1
52,21,89,117,fill,368.59999999999997,1274.4,462.5,453,984.5,I went to a gig by,the most famous,band,"in Ireland,",so I made some nice memories.,1,FILL,country,in Galway,city,in Ireland,"I got home yesterday from a week-long trip in Galway. You won't believe it! Allegedly,",2084.1,NA,FILL,FILL,FILL,1319.1,1
52,21,90,79,fill,362.20000000000005,286.7,267.2,384.90000000000003,501.2,I tried,the best,ice-cream,"in Athens,",so I made some nice memories.,1,FILL,city,in Greece,country,in Athens,"I'm just back from a great holiday in Greece. I'm really pleased! According to locals,",1708.2,NA,FILL,FILL,FILL,1033.8,1
52,21,91,92,fill,378,492.5,356.8,362.9,439.90000000000003,I bathed in,the cleanest,sea,"in France,",so I really enjoyed it.,1,FILL,country,in Nice,city,in France,"I've just returned from a week-long trip in Nice. I was really shocked. According to my friends,",2610.6,NA,FILL,FILL,FILL,861.6,1
52,21,92,17,exp,325.7,273.5,316.90000000000003,533.6999999999999,447,Every,guesthouse,looked old-fashioned,"except those on the website,",so I needed to do more research.,1,MAX,website,on the website,country,in France,I was on a website trying to find old-fashioned guesthouses to stay at in France and other countries.,2713.4,looked,PST-MAX,PST,except those on the website,1206.2,1
52,21,93,19,exp,362.09999999999997,433.40000000000003,295.9,312.8,533.6999999999999,Every,hike,looked scenic,"except those in China,",so I needed to do more research.,1,MEN,app,on the app,country,in China,I was on a travel app researching scenic hikes to enjoy in China and other countries.,2153.9,looked,PST-MEN,PST,except those in China,1116.4,1
52,21,94,15,exp,317.09999999999997,284.2,284.4,301.5,562.2,Every,town,looked pretty,"except those in Peru,",so I had some deciding to do.,1,MEN,blog,in the blog,country,in Peru,I was reading a blog to get some ideas for pretty towns to explore in Peru and other countries.,3116.4,looked,PST-MEN,PST,except those in Peru,1210.7,1
52,21,95,12,exp,391.6,267.2,347.2,570.6,505.90000000000003,Every,B&B,except those on the website,"seemed cheap,",so I needed to do more research.,1,MAX,website,on the website,city,in Cardiff,I was on a website trying to find cheap B&Bs to stay at in Cardiff and other cities.,3542.3,seemed,PRE-MAX,PRE,except those on the website,1305.3,1
52,21,96,8,exp,357.4,366.4,595.9,467.7,419.09999999999997,Every,hotel,except those in the vlog,"seemed luxurious,",so I didn't know what to do.,1,MAX,vlog,in the vlog,city,in Rome,I was watching a vlog for inspiration for luxurious hotels to try out in Rome and other cities.,3384.7999999999997,seemed,PRE-MAX,PRE,except those in the vlog,1350,1
52,21,97,91,fill,284.1,274.1,279.6,350.9,576,I got to try,the most delicious,spaghetti,"in the US,",so I made some nice memories.,1,FILL,country,in Chicago,city,in the US,"I'm just back from a well-earned break in Chicago. I'm really pleased! According to locals,",2262.5,NA,FILL,FILL,FILL,1176.1,1
52,21,98,104,fill,367.3,570.4,421.3,426,510.90000000000003,I got a room at,the fanciest,boutique hotel,"in Australia,",so I made some nice memories.,1,FILL,country,in Perth,city,in Australia,"I've just returned from a great holiday in Perth. I was really shocked. According to my friends,",2376.7,NA,FILL,FILL,FILL,1404.1999999999998,1
52,21,99,11,exp,358.20000000000005,333.5,267.1,700.3000000000001,543.6999999999999,Every,village,looked quaint,"except those in Slovenia,",so I didn't know what to do.,1,MEN,brochure,in the brochure,country,in Slovenia,I was flicking through a holiday brochure to find quaint vilages to visit in Slovenia and other countries.,3366.2999999999997,looked,PST-MEN,PST,except those in Slovenia,1410.6000000000001,1
52,21,100,109,fill,295.09999999999997,310.59999999999997,400.7,1067.5,868.7,I went on,the most scenic,boat trip,"in Greece,",so I'm glad I went.,1,FILL,country,in Corfu,city,in Greece,"I'm just back from a great holiday in Corfu. I'm really pleased! Allegedly,",1862.4,NA,FILL,FILL,FILL,1191.5,1
